Contract,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026061205013088,BHDC,45,38,130,455.10,59163.00
2026061205013084,BHDC,47,45,10,457.50,4575.00
2026061205013022,BHL,45,62,100,216.00,21600.00
2026061205013020,DOLTI,45,53,50,349.90,17495.00
2026061205013019,DOLTI,45,38,20,349.90,6998.00
2026061205012983,DOLTI,45,50,130,349.80,45474.00
2026061205013112,EHPL,45,19,24,384.00,9216.00
2026061205012937,EHPL,45,19,176,384.00,67584.00
2026061205012936,EHPL,45,35,24,383.00,9192.00
2026061205012854,GCIL,39,45,150,388.00,58200.00
2026061205012930,GCIL,48,45,176,388.00,68288.00
2026061205013093,HDL,45,90,50,1155.50,57775.00
2026061205013246,HHL,62,45,500,375.00,187500.00
2026061205013243,HHL,62,45,13,374.00,4862.00
2026061205013215,HHL,60,45,100,374.00,37400.00
2026061205013208,HHL,60,45,10,374.00,3740.00
2026061205013192,HHL,60,45,10,374.00,3740.00
2026061205013191,HHL,58,45,17,374.00,6358.00
2026061205013285,HIDCL,56,45,40,262.50,10500.00
2026061205013027,HRL,47,45,10,636.90,6369.00
2026061205013174,IHL,45,91,15,406.10,6091.50
2026061205012855,ILI,49,45,50,432.00,21600.00
2026061205012816,MHCL,42,45,10,344.10,3441.00
2026061205012902,NRM,62,45,10,345.20,3452.00
2026061205012851,NRM,62,45,90,345.20,31068.00
2026061205012982,NRN,45,58,40,1369.00,54760.00
2026061205013091,NRN,45,8,90,1369.00,123210.00
2026061205013184,RHGCL,45,48,500,280.60,140300.00
2026061205012815,RHGCL,94,45,50,280.50,14025.00
2026061205013099,SAHAS,45,42,25,660.00,16500.00
2026061205013040,SAHAS,6,45,862,660.10,569006.20
2026061205013046,SAHAS,58,45,281,660.00,185460.00
2026061205013045,SAHAS,45,45,10,660.00,6600.00
2026061205013044,SAHAS,37,45,200,660.00,132000.00
2026061205013043,SAHAS,36,45,10,660.00,6600.00
2026061205013042,SAHAS,1,45,10,660.00,6600.00
2026061205013041,SAHAS,34,45,227,660.00,149820.00
2026061205013075,SAHAS,45,42,100,660.00,66000.00
2026061205012806,SANVI,45,68,200,686.00,137200.00
2026061205012909,SHIVM,4,45,512,656.30,336025.60
2026061205012908,SHIVM,44,45,488,656.30,320274.40
2026061205013120,SHIVM,45,64,516,656.10,338547.60
2026061205012899,SPHL,88,45,200,602.00,120400.00
2026061205012898,SPHL,88,45,44,601.00,26444.00
2026061205012897,SPHL,45,29,10,589.00,5890.00
2026061205012891,SPHL,63,45,156,601.00,93756.00
2026061205012884,SPL,45,58,29,697.20,20218.80
2026061205012973,UHEWA,48,45,11,658.00,7238.00
2026061205013018,UHEWA,58,45,10,642.10,6421.00
2026061205013145,UHEWA,48,45,500,660.00,330000.00
